subId	Title	Authors	Contact
1	On Obfuscating Point Functions	Hoeteck Wee	some-email@address.edu
2	Logcrypt: Forward Security and Public Verification for Secure Audit Logs	Jason E. Holt and Kent E. Seamons	some-email@address.edu
3	Cryptanalysis of Hiji-bij-bij (HBB)	Vlastimil Klima	some-email@address.edu
4	Benes and Butterfly schemes revisited	Jacques Patarin and Audrey Montreuil	some-email@address.edu
5	A sufficient condition for key-privacy	Shai Halevi	some-email@address.edu
6	A Metric on the Set of Elliptic Curves over ${mathbf F}_p$.	Pradeep Kumar Mishra and Kishan Chand Gupta	some-email@address.edu
7	The Misuse of RC4 in Microsoft Word and Excel	Hongjun Wu	some-email@address.edu
8	"Comments on ""Distributed Symmetric Key Management for Mobile Ad hoc Networks"" from INFOCOM 2004"	J. Wu and R. Wei	some-email@address.edu
9	Mixing properties of triangular feedback shift registers	Bernd Schomburg	some-email@address.edu
10	Update on SHA-1	Vincent Rijmen and Elisabeth Oswald	some-email@address.edu
11	An Improved Elegant Method to Re-initialize Hash Chains	Yuanchao Zhao and Daoben Li	some-email@address.edu
12	Efficient Certificateless Public Key Encryption	Zhaohui Cheng and Richard Comley	some-email@address.edu
13	Comments: Insider attack on Cheng et al.s pairing-based tripartite key agreement protocols	Hung-Yu Chien	some-email@address.edu
14	A Chosen Ciphertext Attack on a Public Key Cryptosystem Based on Lyndon Words	Ludovic Perret	some-email@address.edu
15	Hierarchical Identity Based Encryption with Constant Size Ciphertext	Dan Boneh and Xavier Boyen and Eu-Jin Goh	some-email@address.edu
16	Narrow T-functions	Magnus Daum	some-email@address.edu
17	Side Channel Attacks on Implementations of Curve-Based Cryptographic Primitives	Roberto M. Avanzi	some-email@address.edu
18	Collusion Resistant Broadcast Encryption With Short Ciphertexts and Private Keys	Dan Boneh and Craig Gentry  and Brent Waters	some-email@address.edu
19	The Full Abstraction of the UC Framework	Jes{\'u}s F. Almansa	some-email@address.edu
20	(De)Compositions of Cryptographic Schemes and their Applications to Protocols	R. Janvier and Y. Lakhnech and L. Mazare	some-email@address.edu
21	Partial Hiding in Public-Key Cryptography	Eabhnat N'{i} Fhloinn and Michael Purser	some-email@address.edu
